"","x"
"1",73.1188267209776
"2",67.2111101485003
"3",70.5660707688292
"4",65.8087918542213
"5",69.270059698199
"6",72.0615536833146
"7",67.1620133255313
"8",68.9385500814665
"9",71.9718574580862
"10",72.2337175930817
"11",64.2690746695283
"12",71.7472859815766
"13",67.8303519276999
"14",72.9732445960663
"15",69.1129934930062
"16",69.2419713958176
"17",69.7414699102874
"18",71.4743142916829
"19",72.1740076679826
"20",67.9560360780163
"21",72.7331334004801
"22",67.7099282685028
"23",72.0831722415023
"24",71.1360593875372
"25",69.6786933946406
"26",71.257674103557
"27",62.7460593609499
"28",66.7572813823094
"29",70.2602261957581
"30",68.9392162427109
"31",69.6618917078192
"32",71.6660651732306
"33",71.6716715130649
"34",68.9740283776998
"35",74.9644811514317
"36",70.2701064382949
"37",64.9684630354807
"38",67.5347136874641
"39",71.2909853290625
"40",72.2109735658644
"41",71.9550425203447
"42",69.9062918129135
"43",70.4665260151708
"44",68.6886639096077
"45",68.6147970274871
"46",68.3633398259847
"47",66.8293449825737
"48",69.1990209168114
"49",69.7185731482218
"50",74.4030829387939
"51",70.0866815434566
"52",74.0236914869613
"53",67.0308050170703
"54",71.2481691951893
"55",73.5514790193306
"56",66.8612889693576
"57",66.7257262447343
"58",75.4854697620557
"59",70.8342709651796
"60",65.2441148625609
"61",72.6724433056146
"62",68.3550464753358
"63",69.9237652755101
"64",70.2741698843465
"65",66.4845409717689
"66",71.4778534970939
"67",62.5403724767501
"68",65.1295723057286
"69",70.5900658615657
"70",69.7895110540001
"71",69.1914921547709
"72",71.9949213147495
"73",67.6030537297097
"74",71.6624805498357
"75",67.7300482285497
"76",72.2321759050275
"77",67.034136205882
"78",69.1183132649684
"79",72.0361244358382
"80",66.6604160121819
"81",71.8801460582742
"82",73.3657615060038
"83",66.7006687492991
"84",75.2276969540969
"85",68.1141594652927
"86",62.4965945694835
"87",69.8196302339859
"88",67.7183964407963
"89",69.9260821403202
"90",67.2580251769729
"91",66.6463631295134
"92",74.4501620138652
"93",69.2168472072051
"94",71.7955641345969
"95",75.6465834376646
"96",72.9327860011071
"97",70.5786575659804
"98",73.4123130630566
"99",73.885552068391
"100",62.5559939903837
"101",67.1923463558994
"102",68.8499176793029
"103",70.5946117057038
"104",73.5176720092021
"105",71.312169194329
"106",71.6470185636472
"107",63.6593665998339
"108",67.9347632613425
"109",68.2863725569087
"110",69.8381213320385
"111",68.6840734672053
"112",70.3605872231147
"113",69.6301890127515
"114",74.2585022833454
"115",70.0352386014544
"116",72.5295921281623
"117",74.596598267882
"118",74.2131891951875
"119",70.6585578962698
"120",73.121054432338
"121",68.7170051503498
"122",72.5996357990122
"123",73.3887794606475
"124",67.8627120981488
"125",69.2887163904084
"126",78.3637523955906
"127",70.8203638844015
"128",75.1804943227427
"129",73.5266292252972
"130",66.1417135141385
"131",65.2783113879523
"132",71.6336748855038
"133",66.8444890631136
"134",68.6644335265616
"135",69.9513052641123
"136",71.519454162437
"137",75.4633448203293
"138",72.5234873193024
"139",71.6285757350483
"140",70.9082085199487
"141",71.6844342961937
"142",77.6820576378297
"143",75.8193656196205
"144",69.1126899323251
"145",71.9979460972996
"146",67.1813907994067
"147",69.1379320434977
"148",69.4966871852355
"149",68.5677013281285
"150",68.6216398599905
"151",65.6981254457677
"152",66.4176179358412
"153",69.3775036555198
"154",69.8537548541473
"155",69.6979224667115
"156",74.3918446340003
"157",76.6599900593732
"158",73.8932828442027
"159",75.9286287523225
"160",68.9171196671199
"161",73.0222253577921
"162",71.7361918734322
"163",72.7638804659013
"164",65.998256128491
"165",76.2289908548081
"166",70.8818069017479
"167",71.5247905713148
"168",69.1601054244076
"169",66.1974014891381
"170",69.463087550355
"171",70.3633133633348
"172",65.6112698478568
